energy, energy  , all_energy, tempo  , tempo  , all_tempo, danceability, danceability, all_danceability, loudness, loudness, all_loudness, liveness, liveness, all_liveness, valence, valence, all_valence, speechiness, speechiness, all_speechiness, track_popularity, track_popularity, all_track_popularity, instrumentalness, instrumentalness, all_instrumentalness, key, key, all_key, duration_min, acousticness, acousticness, all_acousticness, track_artist                                                                   , track_album_name                                                                    , track_album_release_date, playlist_name         , track_name                                                                                        , source                     , popularity_category, duration_ms, duration_ms
 0.628,         ,   0.628   , 119.98 ,        ,   119.98 ,        0.757,             ,           0.757 , -6.715  ,         , -6.715      ,   0.221 ,         ,       0.221 ,  0.321 ,        ,      0.321 ,      0.101 ,            ,                ,               85,                 ,                   85, 0.0209          ,                 ,           0.0209    ,   4,    ,       4,         3.62,     0.189   ,             ,        0.189    , Don Toliver                                                                    , HARDSTONE PSYCHO                                                                    , 6/14/2024               , Today's Top Hits      , NEW DROP                                                                                          , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      217333,            
 0.855,         ,   0.855   , 127.986,        ,   127.986,        0.638,             ,           0.638 , -4.86   ,         , -4.86       ,   0.245 ,         ,       0.245 ,  0.731 ,        ,      0.731 ,      0.0264,            ,                ,               84,                 ,                   84, 0               ,                 ,           0         ,   7,    ,       7,         2.97,     0.00757 ,             ,        0.00757  , "Post Malone, Morgan Wallen                                                   ", I Had Some Help                                                                     , 5/10/2024               , Today's Top Hits      , I Had Some Help (Feat. Morgan Wallen)                                                             , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      178206,            
 0.339,         ,   0.339   ,  97.989,        ,    97.989,        0.705,             ,           0.705 , -10.612 ,         , -10.612     ,   0.12  ,         ,       0.12  ,  0.457 ,        ,      0.457 ,      0.0278,            ,                ,               84,                 ,                   84, 0.0814          ,                 ,           0.0814    ,   7,    ,       7,         3.95,     0.552   ,             ,        0.552    , The Marías                                                                     , Submarine                                                                           , 5/31/2024               , Today's Top Hits      , No One Noticed                                                                                    , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      236907,            
 0.651,         ,   0.651   , 112.648,        ,   112.648,        0.694,             ,           0.694 , -6.968  ,         , -6.968      ,   0.0787,         ,       0.0787,  0.471 ,        ,      0.471 ,      0.0784,            ,                ,               93,                 ,                   93, 1.36E-05        ,                 ,           0.0000136 ,   6,    ,       6,         3.76,     0.496   ,             ,        0.496    , "Oscar Maydon, Fuerza Regida                                                  ", Tu Boda                                                                             , 9/26/2024               , Today's Top Hits      , Tu Boda                                                                                           , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      225881,            
 0.601,         ,   0.601   , 123.994,        ,   123.994,        0.635,             ,           0.635 , -6.129  ,         , -6.129      ,   0.11  ,         ,       0.11  ,  0.332 ,        ,      0.332 ,      0.0295,            ,                ,               88,                 ,                   88, 0               ,                 ,           0         ,   1,    ,       1,         2.88,     0.246   ,             ,        0.246    , Myles Smith                                                                    , Stargazing                                                                          , 5/10/2024               , Today's Top Hits      , Stargazing                                                                                        , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      172533,            
 0.471,         ,   0.471   , 105.029,        ,   105.029,        0.472,             ,           0.472 , -5.692  ,         , -5.692      ,   0.14  ,         ,       0.14  ,  0.219 ,        ,      0.219 ,      0.0603,            ,                ,               85,                 ,                   85, 0               ,                 ,           0         ,  10,    ,      10,         3.01,     0.151   ,             ,        0.151    , Benson Boone                                                                   , Beautiful Things                                                                    , 1/18/2024               , Today's Top Hits      , Beautiful Things                                                                                  , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      180304,            
 0.709,         ,   0.709   , 194.055,        ,   194.055,        0.744,             ,           0.744 , -5.778  ,         , -5.778      ,   0.0847,         ,       0.0847,  0.712 ,        ,      0.712 ,      0.284 ,            ,                ,               84,                 ,                   84, 0               ,                 ,           0         ,   6,    ,       6,         2.18,     0.0501  ,             ,        0.0501   , "Myke Towers, benny blanco                                                    ", LA PANTERA NEGRA (DELUXE)                                                           , 10/17/2024              , Today's Top Hits      , DEGENERE 👑 (feat. benny blanco)                                                                  , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      130880,            
 0.904,         ,   0.904   , 167.033,        ,   167.033,        0.739,             ,           0.739 , -2.655  ,         , -2.655      ,   0.0948,         ,       0.0948,  0.788 ,        ,      0.788 ,      0.0442,            ,                ,               85,                 ,                   85, 1.03E-05        ,                 ,           0.0000103 ,   5,    ,       5,         2.16,     0.549   ,             ,        0.549    , KATSEYE                                                                        , Touch                                                                               , 7/26/2024               , Today's Top Hits      , Touch                                                                                             , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      129883,            
 0.604,         ,   0.604   , 159.92 ,        ,   159.92 ,        0.561,             ,           0.561 , -4.409  ,         , -4.409      ,   0.104 ,         ,       0.104 ,  0.242 ,        ,      0.242 ,      0.0337,            ,                ,               89,                 ,                   89, 1.90E-05        ,                 ,           0.000019  ,   9,    ,       9,         3.51,     0.199   ,             ,        0.199    , Teddy Swims                                                                    , I've Tried Everything But Therapy (Part 1)                                          , 9/15/2023               , Today's Top Hits      , Lose Control                                                                                      , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      210689,            
 0.668,         ,   0.668   ,  90.969,        ,    90.969,        0.646,             ,           0.646 , -5.203  ,         , -5.203      ,   0.212 ,         ,       0.212 ,  0.64  ,        ,      0.64  ,      0.0282,            ,                ,               82,                 ,                   82, 0               ,                 ,           0         ,   2,    ,       2,         2.47,     0.491   ,             ,        0.491    , Mark Ambor                                                                     , Belong Together                                                                     , 2/16/2024               , Today's Top Hits      , Belong Together                                                                                   , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      148318,            
 0.668,         ,   0.668   , 128.027,        ,   128.027,        0.924,             ,           0.924 , -6.795  ,         , -6.795      ,   0.0678,         ,       0.0678,  0.787 ,        ,      0.787 ,      0.0469,            ,                ,               93,                 ,                   93, 0.000594        ,                 ,           0.000594  ,  11,    ,      11,         3.26,     0.446   ,             ,        0.446    , KAROL G                                                                        , Si Antes Te Hubiera Conocido                                                        , 6/21/2024               , Today's Top Hits      , Si Antes Te Hubiera Conocido                                                                      , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      195824,            
 0.454,         ,   0.454   , 159.982,        ,   159.982,        0.689,             ,           0.689 , -7.643  ,         , -7.643      ,   0.0707,         ,       0.0707,  0.912 ,        ,      0.912 ,      0.0584,            ,                ,               89,                 ,                   89, 0.00259         ,                 ,           0.00259   ,   2,    ,       2,         2.65,     0.0351  ,             ,        0.0351   , Djo                                                                            , DECIDE                                                                              , 9/16/2022               , Today's Top Hits      , End of Beginning                                                                                  , Spotify_Top20_Percentile   , HIGH POPULARITY    ,      159246,            
