energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,track_popularity,key,duration_min,acousticness,popularity_Catergory,track_artist                                                                   ,release_date,
0.752,100.076,0.841,-4.735,0.949,0.67,0.105,0.00046,86,2,3.58,0.167,High_Popularity,Shakira                                                                        , 9/25/2024               ,
0.707,82.045,0.786,-4.386,0.121,0.691,0.0635,0,84,7,3.76,0.0399,High_Popularity,Maisak and Feid                                                                 , 8/23/2024                                                                       ,
0.832,98.582,0.742,-4.267,0.296,0.716,0.0325,0,82,8,3.26,0.0857,High_Popularity,Grupo Frontera                                                                 , 10/3/2024               ,
0.689,120.208,0.724,-7.174,0.0922,0.936,0.0524,0.00000677,89,7,2.44,0.573,High_Popularity,Tito Double P                                                                  , 8/22/2024               ,
0.783,103.001,0.705,-4.783,0.0984,0.454,0.0403,0,86,9,2.87,0.138,High_Popularity,Kapo                                                                           , 8/15/2024               ,
0.764,148.853,0.666,-6.297,0.347,0.729,0.116,0,85,4,2.72,0.366,High_Popularity,Tito Double P and Grupo Frontera                                                , 8/22/2024                                                                             ,
0.578,199.997,0.734,-4.147,0.113,0.88,0.295,0.000242,82,1,2.37,0.155,High_Popularity,W Sound and Blessd and Ovy On The Drums                                            , 8/6/2024                                          ,
0.513,109.935,0.745,-9.116,0.216,0.929,0.087,0,88,1,2.58,0.783,High_Popularity,Tito Double P and Peso Pluma                                                    , 8/22/2024                                                                         ,
0.356,169.653,0.529,-6.612,0.136,0.659,0.0569,0,85,3,2.51,0.29,High_Popularity,Julian alvarez y su Norteto Banda                                              , 9/5/2024                ,
0.866,140.266,0.526,-5.822,0.0945,0.248,0.0568,0.0000778,84,0,4.23,0.00287,High_Popularity,Arctic Monkeys                                                                 , 4/22/2007               ,
0.545,159.94,0.545,-7.362,0.417,0.549,0.107,0.0000548,87,9,3.08,0.667,High_Popularity,Frank Ocean                                                                    , 8/20/2016               ,
0.364,75.24,0.524,-10.209,0.1,0.436,0.0367,0,84,7,3.5,0.808,High_Popularity,Daniel Caesar and H.E.R.                                                        , 8/25/2017                                                                           ,
0.607,81.001,0.684,-8.127,0.191,0.498,0.1,0.000307,85,11,3.26,0.0267,High_Popularity,Miguel                                                                         , 11/26/2010              ,
0.551,143.008,0.559,-7.231,0.11,0.392,0.132,0,86,5,3.36,0.141,High_Popularity,SZA                                                                            , 12/9/2022               ,
0.284,99.796,0.358,-8.285,0.183,0.276,0.0285,0,84,7,3.01,0.805,High_Popularity,SZA                                                                            , 12/9/2022               ,
0.735,88.98,0.644,-5.747,0.161,0.418,0.0391,0.144,86,8,2.57,0.0521,High_Popularity,SZA                                                                            , 12/8/2022               ,
0.635,103.019,0.617,-6.769,0.164,0.446,0.0317,0.0000144,86,11,4.12,0.0498,High_Popularity,The Chainsmokers and Coldplay                                                   , 4/7/2017                                                               ,
0.939,129.024,0.671,-3.206,0.298,0.53,0.161,0,84,8,4.21,0.191,High_Popularity,Pitbull and AFROJACK and Ne-Yo and Nayer                                              , 6/17/2011 ,
0.715,199.892,0.475,-5.371,0.135,0.159,0.058,0.0000267,83,8,3.43,0.0863,High_Popularity,DJ Snake and Justin Bieber                                                      , 8/5/2016                                                                          ,
0.823,128.035,0.646,-4.123,0.322,0.418,0.0394,0,82,2,3.79,0.213,High_Popularity,Calvin Harris and Ellie Goulding                                                , 10/31/2014                                                                        ,
0.835,125.983,0.527,-5.298,0.249,0.654,0.0433,0,82,6,2.94,0.0166,High_Popularity,Avicii                                                                         , 1/1/2014                ,
0.524,95.01,0.748,-5.599,0.111,0.661,0.0338,0,84,8,4.08,0.414,High_Popularity,The Chainsmokers and Halsey                                                     , 7/29/2016                                                                  ,
0.963,129.992,0.581,-4.087,0.139,0.788,0.0981,0,82,11,3.4,0.0295,High_Popularity,Pitbull and Kesha                                                               ,7/1/2012,
0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0,100,6,4.19,0.308,High_Popularity,Lady Gaga and Bruno Mars                                                        , 8/16/2024 ,
0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,97,2,3.51,0.2,High_Popularity,Billie Eilish                                                                  , 5/17/2024               ,
0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0,94,11,3.64,0.0502,High_Popularity,Chappell Roan                                                                  , 4/5/2024    ,
0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,0.0000654,90,0,2.92,0.107,High_Popularity,Sabrina Carpenter                                                              , 4/12/2024               ,
0.604,159.92,0.561,-4.409,0.104,0.242,0.0337,0.000019,89,9,3.51,0.199,High_Popularity,Teddy Swims                                                                    , 9/15/2023               ,
0.882,148.038,0.569,-2.777,0.142,0.201,0.06,0,88,3,3.2,0.0316,High_Popularity,Travis Scott and Playboi Carti                                                  , 7/28/2023                                                                                             ,
0.601,123.994,0.635,-6.129,0.11,0.332,0.0295,0,88,1,2.88,0.246,High_Popularity,Myles Smith                                                                    , 5/10/2024               ,
0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0,88,6,3.08,0.0187,High_Popularity,Chappell Roan                                                                  , 9/22/2023               ,
0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0,88,1,4.57,0.0107,High_Popularity,Kendrick Lamar                                                                 , 5/4/2024                ,
0.583,181.489,0.432,-4.682,0.0933,0.544,0.0687,0,87,8,2.7,0.174,High_Popularity,Benson Boone                                                                   , 4/5/2024                ,
0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0,86,9,2.85,0.0633,High_Popularity,Shaboozey                                                                      , 4/12/2024               ,
0.782,119.992,0.727,-8.529,0.225,0.655,0.042,0.336,86,8,2.96,0.0563,High_Popularity,Adam Port and Stryv and Keinemusik and Orso and Malachiii                                , 6/7/2024      ,
0.745,180.098,0.464,-3.202,0.363,0.262,0.161,0,85,4,3.18,0.0235,High_Popularity,Hanumankind and Kalmi                                                           , 7/9/2024  ,
0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0,88,9,3.11,0.274,High_Popularity,Sabrina Carpenter                                                              , 6/6/2024                ,
0.965,128.04,0.561,-3.673,0.371,0.304,0.0343,0.00000707,85,7,2.92,0.00383,High_Popularity,David Guetta and Bebe Rexha                                                     , 8/26/2022                                                                        ,
0.544,132.052,0.571,-10.613,0.322,0.216,0.0299,0.00805,85,6,2.21,0.453,High_Popularity,d4vd                                                                           , 7/20/2022               ,
0.854,140.515,0.477,-4.715,0.065,0.314,0.275,0,85,7,3,0.0858,High_Popularity,LISA and ROSA                                                              , 8/15/2024        ,
0.471,105.029,0.472,-5.692,0.14,0.219,0.0603,0,85,10,3.01,0.151,High_Popularity,Benson Boone                                                                   , 1/18/2024               ,
0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.3,85,7,2.42,0.0146,High_Popularity,Charli xcx and Billie Eilish                                                    , 8/1/2024  ,
0.946,151.647,0.599,-4.263,0.0826,0.747,0.0447,0.0106,84,11,2.38,0.000938,High_Popularity,artemas, 3/19/2024               ,
0.855,127.986,0.638,-4.86,0.245,0.731,0.0264,0,84,7,2.97,0.00757,High_Popularity,Post Malone and Morgan Wallen                                                   , 5/10/2024        ,
0.642,179.974,0.745,-6.257,0.0658,0.226,0.287,0,84,7,2.19,0.0204,High_Popularity,Lil Tecca                                                                      , 8/30/2019               ,
0.829,139.198,0.476,-3.806,0.167,0.505,0.0658,0.00916,84,10,2.22,0.0172,High_Popularity,Odetari                                                                        , 7/17/2024               ,
0.552,144.941,0.64,-5.679,0.119,0.112,0.129,0,84,2,3.8,0.0215,High_Popularity,Future and Metro Boomin and Travis Scott and Playboi Carti                            , 3/22/2024 ,
0.453,139.943,0.915,-4.589,0.104,0.287,0.27,0.000163,84,10,2.4,0.0872,High_Popularity,Gunna                                                                          , 5/10/2024               ,
0.787,119.996,0.704,-6.751,0.159,0.31,0.0462,0.00538,83,11,3.57,0.00926,High_Popularity,HUGEL and Topic and Arash and Daecolm                                                 , 7/19/2024 ,
0.618,126.031,0.853,-10.833,0.0972,0.32,0.0923,0.89,83,6,2.43,0.633,High_Popularity,Lost Frequencies and Tom Odell                                                  , 7/19/2024 ,
0.751,129.994,0.701,-8.39,0.15,0.22,0.0502,0,83,0,3.63,0.123,High_Popularity,Taylor Swift                                                                   , 4/18/2024               ,
0.957,126.035,0.804,-5.452,0.114,0.962,0.034,0.0174,83,0,2.53,0.125,High_Popularity,Charli xcx                                                                     , 6/7/2024                ,
0.457,146.04,0.592,-6.081,0.146,0.225,0.0603,0.000331,82,9,1.85,0.661,High_Popularity,XXXTENTACION                                                                   , 3/16/2018               ,
0.792,100.011,0.687,-2.749,0.167,0.671,0.0452,0,82,5,3.57,0.191,High_Popularity,Marshmello and Bastille                                                         , 8/17/2018                                                                           ,
0.676,162.012,0.814,-4.67,0.119,0.312,0.231,0.0000128,83,11,4.46,0.00709,High_Popularity,Future and Metro Boomin and Kendrick Lamar                                         , 3/22/2024                                ,
0.522,89.96,0.755,-4.368,0.0685,0.925,0.0575,0,82,2,2.63,0.533,High_Popularity,Post Malone and Swae Lee                                                        , 9/6/2019                                                               ,
0.622,130.001,0.847,-6.747,0.285,0.22,0.0903,0,82,1,2.08,0.119,High_Popularity,Gunna                                                                          , 6/16/2023               ,
0.668,90.969,0.646,-5.203,0.212,0.64,0.0282,0,82,2,2.47,0.491,High_Popularity,Mark Ambor                                                                     , 2/16/2024               ,
0.642,83.389,0.463,-4.474,0.0686,0.339,0.34,0,82,1,3.16,0.314,High_Popularity,Future and Drake and Tems                                                          , 4/29/2022                                       ,
0.727,130.035,0.887,-4.318,0.213,0.932,0.135,0.00000116,82,4,1.51,0.381,High_Popularity,Gunna                                                                          , 5/10/2024               ,
0.934,127.066,0.417,-3.908,0.132,0.287,0.119,0.0015,83,7,3.5,0.000278,High_Popularity,System Of A Down                                                               , 9/4/2001                ,
0.795,112.067,0.645,-12.095,0.104,0.535,0.0527,0.00389,85,7,4.19,0.347,High_Popularity,Tears For Fears                                                                , 2/25/1985               ,
0.373,92.718,0.671,-18.064,0.0481,0.732,0.0323,0.0000801,83,9,4.93,0.257,High_Popularity,TOTO                                                                           , 4/8/1982                ,
0.7,188.386,0.31,-5.678,0.0828,0.763,0.047,0.00965,83,9,4.26,0.011,High_Popularity,AC/DC                                                                          , 7/25/1980               ,
0.942,148.723,0.527,-5.64,0.188,0.495,0.0366,0,82,1,4.02,0.0115,High_Popularity,Bruce Springsteen                                                              , 6/4/1984                ,
0.628,140.053,0.668,-4.692,0.0293,0.568,0.046,0,83,8,2.3,0.129,High_Popularity,LISA                                                                           , 6/27/2024               ,
0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0,100,6,4.19,0.308,High_Popularity,Lady Gaga and Bruno Mars                                                        , 8/16/2024                                                                  ,
0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0,98,0,2.83,0.0283,High_Popularity,ROSÉ and Bruno Mars                                                             ,10/18/2024,
0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,97,2,3.51,0.2,High_Popularity,Billie Eilish                                                                  , 5/17/2024               ,
0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0,93,1,2.77,0.214,High_Popularity,Gracie Abrams                                                                  , 10/18/2024              ,
0.756,116.034,0.66,-3.743,0.193,0.838,0.032,0,92,0,2.85,0.00289,High_Popularity,Jimin                                                                          , 7/19/2024               ,
0.413,94.938,0.494,-10.432,0.193,0.273,0.0254,0.0000672,93,11,3.53,0.682,High_Popularity,Gigi Perez                                                                     , 7/26/2024               ,
0.907,112.964,0.674,-4.086,0.297,0.721,0.064,0,93,3,2.62,0.101,High_Popularity,Sabrina Carpenter                                                              , 8/23/2024               ,
0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,0.0000136,93,6,3.76,0.496,High_Popularity,Oscar Maydon and Fuerza Regida                                                  ,9/26/2024,
0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,0.000271,93,6,4.36,0.612,High_Popularity,Billie Eilish                                                                  , 5/17/2024               ,
0.776,103.963,0.699,-5.282,0.205,0.708,0.0293,0.00000536,88,0,2.92,0.131,High_Popularity,Sabrina Carpenter                                                              , 8/23/2024               ,
0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,0.00000256,92,11,4.27,0.0584,High_Popularity,The Weeknd and Playboi Carti                                                    ,9/27/2024,
0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0,94,11,3.64,0.0502,High_Popularity,Chappell Roan                                                                  ,4/5/2024,
0.563,105.008,0.833,-5.593,0.139,0.343,0.204,0.0000127,82,4,3.05,0.528,High_Popularity,Rauw Alejandro and Bad Bunny                                                    ,11/15/2024,
0.627,150.273,0.336,-7.463,0.0708,0.35,0.0384,0,87,7,4.02,0.164,High_Popularity,Mariah Carey                                                                   , 10/28/1994              ,
0.471,105.029,0.472,-5.692,0.14,0.219,0.0603,0,89,10,3.01,0.151,High_Popularity,Benson Boone                                                                   , 4/5/2024                ,
0.668,128.027,0.924,-6.795,0.0678,0.787,0.0469,0.000594,93,11,3.26,0.446,High_Popularity,KAROL G                                                                        , 6/21/2024               ,
0.586,107.015,0.675,-6.086,0.104,0.621,0.0531,0,87,9,3.11,0.257,High_Popularity,Sabrina Carpenter                                                              , 8/23/2024               ,
0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0,90,10,2.62,0.656,High_Popularity,Gracie Abrams                                                                  , 6/21/2024               ,
0.369,174.097,0.448,-9.514,0.638,0.0998,0.0452,0.272,88,9,3.47,0.968,High_Popularity,Lord Huron                                                                     , 4/6/2015                ,
0.807,124.053,0.612,-2.81,0.101,0.398,0.0336,0.0177,90,10,4.01,0.0495,High_Popularity,The Neighbourhood                                                              , 4/22/2013               ,
0.417,67.528,0.464,-9.345,0.0974,0.479,0.0256,0.022,90,0,3.07,0.136,High_Popularity,Arctic Monkeys                                                                 , 9/9/2013                ,
0.604,159.92,0.561,-4.409,0.104,0.242,0.0337,0.000019,89,9,3.51,0.199,High_Popularity,Teddy Swims                                                                    , 9/15/2023               ,
0.559,78.558,0.558,-9.222,0.109,0.62,0.0959,0.00000749,90,6,3.01,0.371,High_Popularity,Tyler and The Creator and Kali Uchis                                               ,7/21/2017,
0.661,173.372,0.429,-7.227,0.234,0.285,0.0281,0.000121,89,11,4.45,0.00239,High_Popularity,Coldplay                                                                       , 7/10/2000               ,
0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0,88,1,4.27,0.285,High_Popularity,Tyler and The Creator and GloRilla and Sexyy Red and Lil Wayne                           , 10/28/2024,
0.56,134.066,0.853,-4.961,0.0944,0.86,0.0406,0,88,1,3.44,0.013,High_Popularity,Bruno Mars                                                                     , 11/17/2016              ,
0.698,143.994,0.726,-4.165,0.309,0.867,0.0431,0,89,5,3.89,0.049,High_Popularity,Bruno Mars                                                                     , 12/7/2012               ,
0.727,94.99,0.739,-5.968,0.104,0.676,0.0426,0,90,11,2.86,0.0678,High_Popularity,Sabrina Carpenter                                                              , 8/23/2024               ,
0.555,96.063,0.392,-6.707,0.13,0.191,0.039,0.000253,87,4,4.63,0.287,High_Popularity,Tyler and The Creator and Lola Young                                               , 10/28/2024              ,
0.52,120.001,0.672,-7.747,0.115,0.37,0.0353,0,89,8,3.78,0.859,High_Popularity,One Direction                                                                  , 11/17/2014              ,
0.47,67.086,0.598,-8.744,0.505,0.879,0.0496,0,83,8,2.1,0.617,High_Popularity,Brenda Lee                                                                     , 10/19/1964              ,
